id_solped,codigo_campana,version,id_solped_anterior,estado,fecha_despacho,fecha_creacion,codigo_ejecutivo,motivo_cambio
SOL-0001,QP-QUA-0001,1,,reemplazada,2026-07-14,13/07/2026 23:12:49,EJ002,Creación inicial
SOL-0002,QP-QUA-0001,2,SOL-0001,despachada,2026-07-14,13/07/2026 23:15:06,EJ002,Modificación solicitada por el cliente
SOL-0003,QP-QUA-0001,1,,despachada,2026-07-21,20/07/2026 22:12:41,EJ002,Creación inicial
SOL-0004,QP-QUA-0002,1,,despachada,2026-07-30,30/07/2026 21:16:20,EJ001,Creación inicial
